genus_name	sp_epithet	subsp_epithet	reference	status	authors	address	risk_grp	nomenclatural_type	record_no	record_lnk
Absiella			Oren A, Garrity GM. Validation list no. 196. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2020; 70:5596-5601.	VL; gen. nov.; validly published under the ICNP; synonym	Paek et al. 2020	https://lpsn.dsmz.de/genus/absiella		15254	8890	8286
Abyssalbus	ytuae		Xu X, Zhang S, Sun X, Xu X, Zhang J. Description of Abyssalbus ytuae gen. nov., sp. nov., a novel member of the family Flavobacteriaceae isolated from the sediment of the Mariana Trench. Int J Syst Evol Microbiol 2022; 72:5459.	VP; sp. nov.; validly published under the ICNP; correct name	Xu et al. 2022	https://lpsn.dsmz.de/species/abyssalbus-ytuae		KCTC 82823; MCCC 1K06012; MT3330	29444	
Abyssalbus			Xu X, Zhang S, Sun X, Xu X, Zhang J. Description of Abyssalbus ytuae gen. nov., sp. nov., a novel member of the family Flavobacteriaceae isolated from the sediment of the Mariana Trench. Int J Syst Evol Microbiol 2022; 72:5459.	VP; gen. nov.; validly published under the ICNP; correct name	Xu et al. 2022	https://lpsn.dsmz.de/genus/abyssalbus		29444	597	
Abyssibacter	profundi		Zhou S, Ren Q, Li Y, Liu J, Wang X, Wu Y, Zhang Y, Zhang XH. Abyssibacter profundi gen. nov., sp. nov., a marine bacterium isolated from seawater of the Mariana Trench. Int J Syst Evol Microbiol 2018; 68:3424-3429.	VP; sp. nov.; validly published under the ICNP; correct name	Zhou et al. 2018	https://lpsn.dsmz.de/species/abyssibacter-profundi		KCTC 52933; MCCC 1K03450; OUC007	797925	
Abyssibacter			Zhou S, Ren Q, Li Y, Liu J, Wang X, Wu Y, Zhang Y, Zhang XH. Abyssibacter profundi gen. nov., sp. nov., a marine bacterium isolated from seawater of the Mariana Trench. Int J Syst Evol Microbiol 2018; 68:3424-3429.	VP; gen. nov.; validly published under the ICNP; correct name	Zhou et al. 2018	https://lpsn.dsmz.de/genus/abyssibacter		797925	520421	
Abyssibius	alkaniclasticus		Wei TT, Fan XB, Quan ZX. Abyssibius alkaniclasticus gen. nov., sp. nov., a novel member of the family Rhodobacteraceae, isolated from the Mariana Trench. Int J Syst Evol Microbiol 2023; 73:5715.	VP; sp. nov.; validly published under the ICNP; correct name	Wei et al. 2023	https://lpsn.dsmz.de/species/abyssibius-alkaniclasticus		960558; KCTC 82619; MCCC 1K04727	36886	
Abyssibius			Wei TT, Fan XB, Quan ZX. Abyssibius alkaniclasticus gen. nov., sp. nov., a novel member of the family Rhodobacteraceae, isolated from the Mariana Trench. Int J Syst Evol Microbiol 2023; 73:5715.	VP; gen. nov.; validly published under the ICNP; correct name	Wei et al. 2023	https://lpsn.dsmz.de/genus/abyssibius		36886	36880	
Abyssicoccus	albus		Oren A, Garrity GM. Validation list no. 172. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2016; 66:4299-4305.	VL; sp. nov.; validly published under the ICNP; correct name	Jiang et al. 2016 emend. Madhaiyan et al. 2020 emend. Dobritsa and Samadpour 2020	https://lpsn.dsmz.de/species/abyssicoccus-albus	1	CCTCC AB 2014213; DSM 29158; YIM M12140	794216	
Abyssicoccus			Oren A, Garrity GM. Validation list no. 172. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2016; 66:4299-4305.	VL; gen. nov.; validly published under the ICNP; correct name	Jiang et al. 2016 emend. Dobritsa and Samadpour 2020	https://lpsn.dsmz.de/genus/abyssicoccus		794216	518960	
Abyssisolibacter	fermentans		Oren A, Göker M. Validation list no. 220. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2024; 74:6501.	VL; sp. nov.; validly published under the ICNP; correct name	Kim et al. 2024	https://lpsn.dsmz.de/species/abyssisolibacter-fermentans		JCM 31420; KCTC 15524; MCWD3	55696	
Abyssisolibacter			Oren A, Göker M. Validation list no. 220. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2024; 74:6501.	VL; gen. nov.; validly published under the ICNP; correct name	Kim et al. 2024	https://lpsn.dsmz.de/genus/abyssisolibacter		55696	55690	
Abyssivirga	alkaniphila		Schouw A, Leiknes Eide T, Stokke R, Birger Pedersen R, Helene Steen I, Bodtker G. Abyssivirga alkaniphila gen. nov., sp. nov., an alkane-degrading, anaerobic bacterium from a deep-sea hydrothermal vent system, and emended descriptions of Natranaerovirga pectinivora and Natranaerovirga hydrolytica. Int J Syst Evol Microbiol 2016; 66:1724-1734.	VP; sp. nov.; validly published under the ICNP; synonym	Schouw et al. 2016	https://lpsn.dsmz.de/species/abyssivirga-alkaniphila	1	DSM 29592; JCM 30920; L81	794021	790983
Abyssivirga			Schouw A, Leiknes Eide T, Stokke R, Birger Pedersen R, Helene Steen I, Bodtker G. Abyssivirga alkaniphila gen. nov., sp. nov., an alkane-degrading, anaerobic bacterium from a deep-sea hydrothermal vent system, and emended descriptions of Natranaerovirga pectinivora and Natranaerovirga hydrolytica. Int J Syst Evol Microbiol 2016; 66:1724-1734.	VP; gen. nov.; validly published under the ICNP; synonym	Schouw et al. 2016	https://lpsn.dsmz.de/genus/abyssivirga		794021	518931	518401
Acanthopleuribacter	pedis		Fukunaga Y, Kurahashi M, Yanagi K, Yokota A, Harayama S. Acanthopleuribacter pedis gen. nov., sp. nov., a marine bacterium isolated from a chiton, and description of Acanthopleuribacteraceae fam. nov., Acanthopleuribacterales ord. nov., Holophagaceae fam. nov., Holophagales ord. nov. and Holophagae classis nov. in the phylum 'Acidobacteria'. Int J Syst Evol Microbiol 2008; 58:2597-2601.	VP; sp. nov.; validly published under the ICNP; correct name	Fukunaga et al. 2008	https://lpsn.dsmz.de/species/acanthopleuribacter-pedis	1	DSM 28897; FYK2218; KCTC 12899; NBRC 101209	787601	
Acanthopleuribacter			Fukunaga Y, Kurahashi M, Yanagi K, Yokota A, Harayama S. Acanthopleuribacter pedis gen. nov., sp. nov., a marine bacterium isolated from a chiton, and description of Acanthopleuribacteraceae fam. nov., Acanthopleuribacterales ord. nov., Holophagaceae fam. nov., Holophagales ord. nov. and Holophagae classis nov. in the phylum 'Acidobacteria'. Int J Syst Evol Microbiol 2008; 58:2597-2601.	VP; gen. nov.; validly published under the ICNP; correct name	Fukunaga et al. 2008	https://lpsn.dsmz.de/genus/acanthopleuribacter		787601	517824	
Acaricomes	phytoseiuli		Pukall R, Schumann P, Schutte C, Gols R, Dicke M. Acaricomes phytoseiuli gen. nov., sp. nov., isolated from the predatory mite Phytoseiulus persimilis. Int J Syst Evol Microbiol 2006; 56:465-469.	VP; sp. nov.; validly published under the ICNP; correct name	Pukall et al. 2006 emend. Nouioui et al. 2018	https://lpsn.dsmz.de/species/acaricomes-phytoseiuli	1	CCUG 49701; CSC; DSM 14247; JCM 14300	772478	
Acaricomes			Pukall R, Schumann P, Schutte C, Gols R, Dicke M. Acaricomes phytoseiuli gen. nov., sp. nov., isolated from the predatory mite Phytoseiulus persimilis. Int J Syst Evol Microbiol 2006; 56:465-469.	VP; gen. nov.; validly published under the ICNP; correct name	Pukall et al. 2006	https://lpsn.dsmz.de/genus/acaricomes		772478	514988	
Acerihabitans	arboris		Lee SD, Kim IS, Choe H, Kim JS. Acerihabitans arboris gen. nov., sp. nov., a new member of the family Pectobacteriaceae isolated from sap drawn from Acer pictum. Int J Syst Evol Microbiol 2019; 71:0.	VP; sp. nov.; validly published under the ICNP; correct name	Lee et al. 2021	https://lpsn.dsmz.de/species/acerihabitans-arboris		DSM 104038; KCTC 52622; SAP-6	17738	
Acerihabitans			Lee SD, Kim IS, Choe H, Kim JS. Acerihabitans arboris gen. nov., sp. nov., a new member of the family Pectobacteriaceae isolated from sap drawn from Acer pictum. Int J Syst Evol Microbiol 2019; 71:0.	VP; gen. nov.; validly published under the ICNP; correct name	Lee et al. 2021	https://lpsn.dsmz.de/genus/acerihabitans		17738	17724	
Acetanaerobacterium	elongatum		Chen S, Dong X. Acetanaerobacterium elongatum gen. nov., sp. nov., from paper mill waste water. Int J Syst Evol Microbiol 2004; 54:2257-2262.	VP; sp. nov.; validly published under the ICNP; correct name	Chen and Dong 2004	https://lpsn.dsmz.de/species/acetanaerobacterium-elongatum	1	CGMCC 1.5012; JCM 12359; Z7	783232	
Acetanaerobacterium			Chen S, Dong X. Acetanaerobacterium elongatum gen. nov., sp. nov., from paper mill waste water. Int J Syst Evol Microbiol 2004; 54:2257-2262.	VP; gen. nov.; validly published under the ICNP; correct name	Chen and Dong 2004	https://lpsn.dsmz.de/genus/acetanaerobacterium		783232	517160	
Acetatifactor	aquisgranensis		Oren A, Göker M. Validation list no. 215. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2024; 74:6173.	VL; sp. nov.; validly published under the ICNP; correct name	Afrizal et al. 2024	https://lpsn.dsmz.de/species/acetatifactor-aquisgranensis		CLA AA-M01; DSM 110981; JCM 36051	43744	
Acetatifactor	muris		Euzeby JP. Validation list no. 149. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2013; 63:1-5.	VL; sp. nov.; validly published under the ICNP; correct name	Pfeiffer et al. 2013	https://lpsn.dsmz.de/species/acetatifactor-muris	1	ATCC BAA-2170; CT-m2; DSM 23669	790255	
Acetatifactor			Euzeby JP. Validation list no. 149. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2013; 63:1-5.	VL; gen. nov.; validly published under the ICNP; correct name	Pfeiffer et al. 2013	https://lpsn.dsmz.de/genus/acetatifactor		790255	518267	
Aceticella	autotrophica		Oren A, Göker M. Validation list no. 216. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2024; 74:6229.	VL; sp. nov.; validly published under the ICNP; correct name	Frolov et al. 2024	https://lpsn.dsmz.de/species/aceticella-autotrophica		3443-3Ac; DSM 108286; VKM B-3415	46550	
Aceticella			Oren A, Göker M. Validation list no. 216. List of new names and new combinations previously effectively, but not validly, published. Int J Syst Evol Microbiol 2024; 74:6229.	VL; gen. nov.; validly published under the ICNP; correct name	Frolov et al. 2024	https://lpsn.dsmz.de/genus/aceticella		46550	46499	
Acetilactobacillus	jinshanensis		Zheng J, Wittouck S, Salvetti E, Franz CMAP, Harris HMB, Mattarelli P, O'Toole PW, Pot B, Vandamme P, Walter J, et al. A taxonomic note on the genus Lactobacillus: Description of 23 novel genera, emended description of the genus Lactobacillus Beijerinck 1901, and union of Lactobacillaceae and Leuconostocaceae. Int J Syst Evol Microbiol 2020; 70:2782-2858.	VP; sp. nov.; validly published under the ICNP; correct name	Zheng et al. 2020	https://lpsn.dsmz.de/species/acetilactobacillus-jinshanensis		CICC 6269; HSLZ-75; JCM 33270	5493	
Acetilactobacillus			Zheng J, Wittouck S, Salvetti E, Franz CMAP, Harris HMB, Mattarelli P, O'Toole PW, Pot B, Vandamme P, Walter J, et al. A taxonomic note on the genus Lactobacillus: Description of 23 novel genera, emended description of the genus Lactobacillus Beijerinck 1901, and union of Lactobacillaceae and Leuconostocaceae. Int J Syst Evol Microbiol 2020; 70:2782-2858.	VP; gen. nov.; validly published under the ICNP; correct name	Zheng et al. 2020	https://lpsn.dsmz.de/genus/acetilactobacillus		5493	10502	
Acetitomaculum	ruminis		Anonymous. Validation list no. 55. Validation of publication of new names and new combinations previously effectively published outside the IJSB. Int J Syst Bacteriol 1995; 45:879-880.	VL; sp. nov.; validly published under the ICNP; correct name	Greening and Leedle 1995	https://lpsn.dsmz.de/species/acetitomaculum-ruminis	1	ATCC 43876; DSM 5522; Strain 139B	772479	
Acetitomaculum			Anonymous. Validation list no. 55. Validation of publication of new names and new combinations previously effectively published outside the IJSB. Int J Syst Bacteriol 1995; 45:879-880.	VL; gen. nov.; validly published under the ICNP; correct name	Greening and Leedle 1995	https://lpsn.dsmz.de/genus/acetitomaculum		772479	514989	
Acetivibrio	aldrichii		Tindall BJ. The names Hungateiclostridium Zhang et al. 2018, Hungateiclostridium thermocellum (Viljoen et al. 1926) Zhang et al. 2018, Hungateiclostridium cellulolyticum (Patel et al. 1980) Zhang et al. 2018, Hungateiclostridium aldrichii (Yang et al. 1990) Zhang et al. 2018, Hungateiclostridium alkalicellulosi (Zhilina et al. 2006) Zhang et al. 2018, Hungateiclostridium clariflavum (Shiratori et al. 2009) Zhang et al. 2018, Hungateiclostridium straminisolvens (Kato et al. 2004) Zhang et al. 2018 and Hungateiclostridium saccincola (Koeck et al. 2016) Zhang et al. 2018 contravene Rule 51b of the International Code of Nomenclature of Prokaryotes and require replacement names in the genus Acetivibrio Patel et al. 1980. Int J Syst Evol Microbiol 2019; 69:3927-3932.	VP; comb. nov.; validly published under the ICNP; correct name	(Yang et al. 1990) Tindall 2019	https://lpsn.dsmz.de/species/acetivibrio-aldrichii		ATCC 49358; DSM 6159; OCM 112; OGI 112; P-1	5941	
Acetivibrio	alkalicellulosi		Tindall BJ. The names Hungateiclostridium Zhang et al. 2018, Hungateiclostridium thermocellum (Viljoen et al. 1926) Zhang et al. 2018, Hungateiclostridium cellulolyticum (Patel et al. 1980) Zhang et al. 2018, Hungateiclostridium aldrichii (Yang et al. 1990) Zhang et al. 2018, Hungateiclostridium alkalicellulosi (Zhilina et al. 2006) Zhang et al. 2018, Hungateiclostridium clariflavum (Shiratori et al. 2009) Zhang et al. 2018, Hungateiclostridium straminisolvens (Kato et al. 2004) Zhang et al. 2018 and Hungateiclostridium saccincola (Koeck et al. 2016) Zhang et al. 2018 contravene Rule 51b of the International Code of Nomenclature of Prokaryotes and require replacement names in the genus Acetivibrio Patel et al. 1980. Int J Syst Evol Microbiol 2019; 69:3927-3932.	VP; comb. nov.; validly published under the ICNP; correct name	(Zhilina et al. 2006) Tindall 2019	https://lpsn.dsmz.de/species/acetivibrio-alkalicellulosi		DSM 17461; VKM 2349; VKM B-2349; Z-7026	5943	
Acetivibrio	cellulolyticus		Patel GB, Khan AW, Agnew BJ, Colvin JR. Isolation and characterization of an anaerobic, cellulolytic microorganism, Acetivibrio cellulolyticus gen. nov., sp. nov. Int. J. Syst. Bacteriol. 1980; 30:179-185.	VP; sp. nov.; validly published under the ICNP; correct name	Patel et al. 1980	https://lpsn.dsmz.de/species/acetivibrio-cellulolyticus	1	ATCC 33288; CD2; DSM 1870; LMG 8466; NRC 2248	772481	
Acetivibrio	cellulosolvens		Khan AW, Meek E, Sowden LC, Colvin JR. Emendation of the genus Acetivibrio and description of Acetivibrio cellulosolvens sp. nov., a nonmotile cellulolytic mesophile. Int. J. Syst. Bacteriol. 1984; 34:419-422.	VP; sp. nov.; validly published under the ICNP; synonym	Khan et al. 1984	https://lpsn.dsmz.de/species/acetivibrio-cellulosolvens	1	ATCC 35928; BAS; NRC 2936	783233	772481
Acetivibrio	clariflavus		Tindall BJ. The names Hungateiclostridium Zhang et al. 2018, Hungateiclostridium thermocellum (Viljoen et al. 1926) Zhang et al. 2018, Hungateiclostridium cellulolyticum (Patel et al. 1980) Zhang et al. 2018, Hungateiclostridium aldrichii (Yang et al. 1990) Zhang et al. 2018, Hungateiclostridium alkalicellulosi (Zhilina et al. 2006) Zhang et al. 2018, Hungateiclostridium clariflavum (Shiratori et al. 2009) Zhang et al. 2018, Hungateiclostridium straminisolvens (Kato et al. 2004) Zhang et al. 2018 and Hungateiclostridium saccincola (Koeck et al. 2016) Zhang et al. 2018 contravene Rule 51b of the International Code of Nomenclature of Prokaryotes and require replacement names in the genus Acetivibrio Patel et al. 1980. Int J Syst Evol Microbiol 2019; 69:3927-3932.	VP; comb. nov.; validly published under the ICNP; correct name	(Shiratori et al. 2009) Tindall 2019	https://lpsn.dsmz.de/species/acetivibrio-clariflavus		DSM 19732; EBR-02E-0045; EBR45; NBRC 101661	5949	
Acetivibrio	ethanolgignens		Robinson IM, Ritchie AE. Emendation of Acetivibrio and description of Acetivibrio ethanolgignens, a new species from the colons of pigs with dysentery. Int. J. Syst. Bacteriol. 1981; 31:333-338.	VP; sp. nov.; validly published under the ICNP; correct name	Robinson and Ritchie 1981	https://lpsn.dsmz.de/species/acetivibrio-ethanolgignens	2	77-6; ATCC 33324; DSM 3005; LMG 7055	772482	
Acetivibrio	mesophilus		Tindall BJ. Replacement of the illegitimate genus name Hungateiclostridium Zhang et al. 2018 in Hungateiclostridium mesophilum Rettenmaier et al. 2019 by Acetivibrio Patel et al. 1980, creating Acetivibrio mesophilus (Rettenmaier et al. 2019). Int J Syst Evol Microbiol 2019; 69:3967-3968.	VP; comb. nov.; validly published under the ICNP; correct name	(Rettenmaier et al. 2019) Tindall 2019	https://lpsn.dsmz.de/species/acetivibrio-mesophilus		CECT 9704; DSM 107956; N2K1	5587	
Acetivibrio	multivorans		Anonymous. Validation list no. 40. Validation of publication of new names and new combinations previously effectively published outside the IJSB. Int J Syst Bacteriol 1992; 42:191-192.	VL; sp. nov.; validly published under the ICNP; synonym	Tanaka et al. 1992	https://lpsn.dsmz.de/species/acetivibrio-multivorans	1	ATCC 49731; DSM 6139; PeC1	772483	791457
Acetivibrio	saccincola		Tindall BJ. The names Hungateiclostridium Zhang et al. 2018, Hungateiclostridium thermocellum (Viljoen et al. 1926) Zhang et al. 2018, Hungateiclostridium cellulolyticum (Patel et al. 1980) Zhang et al. 2018, Hungateiclostridium aldrichii (Yang et al. 1990) Zhang et al. 2018, Hungateiclostridium alkalicellulosi (Zhilina et al. 2006) Zhang et al. 2018, Hungateiclostridium clariflavum (Shiratori et al. 2009) Zhang et al. 2018, Hungateiclostridium straminisolvens (Kato et al. 2004) Zhang et al. 2018 and Hungateiclostridium saccincola (Koeck et al. 2016) Zhang et al. 2018 contravene Rule 51b of the International Code of Nomenclature of Prokaryotes and require replacement names in the genus Acetivibrio Patel et al. 1980. Int J Syst Evol Microbiol 2019; 69:3927-3932.	VP; comb. nov.; validly published under the ICNP; correct name	(Koeck et al. 2016) Tindall 2019	https://lpsn.dsmz.de/species/acetivibrio-saccincola		CECT 9155; DSM 101079; GGR1	5991	
Acetivibrio	straminisolvens		Tindall BJ. The names Hungateiclostridium Zhang et al. 2018, Hungateiclostridium thermocellum (Viljoen et al. 1926) Zhang et al. 2018, Hungateiclostridium cellulolyticum (Patel et al. 1980) Zhang et al. 2018, Hungateiclostridium aldrichii (Yang et al. 1990) Zhang et al. 2018, Hungateiclostridium alkalicellulosi (Zhilina et al. 2006) Zhang et al. 2018, Hungateiclostridium clariflavum (Shiratori et al. 2009) Zhang et al. 2018, Hungateiclostridium straminisolvens (Kato et al. 2004) Zhang et al. 2018 and Hungateiclostridium saccincola (Koeck et al. 2016) Zhang et al. 2018 contravene Rule 51b of the International Code of Nomenclature of Prokaryotes and require replacement names in the genus Acetivibrio Patel et al. 1980. Int J Syst Evol Microbiol 2019; 69:3927-3932.	VP; comb. nov.; validly published under the ICNP; correct name	(Kato et al. 2004) Tindall 2019	https://lpsn.dsmz.de/species/acetivibrio-straminisolvens		CSK1; DSM 16021; IAM 15070; JCM 21531; NBRC 103399	5955	
Acetivibrio	thermocellus		Tindall BJ. The names Hungateiclostridium Zhang et al. 2018, Hungateiclostridium thermocellum (Viljoen et al. 1926) Zhang et al. 2018, Hungateiclostridium cellulolyticum (Patel et al. 1980) Zhang et al. 2018, Hungateiclostridium aldrichii (Yang et al. 1990) Zhang et al. 2018, Hungateiclostridium alkalicellulosi (Zhilina et al. 2006) Zhang et al. 2018, Hungateiclostridium clariflavum (Shiratori et al. 2009) Zhang et al. 2018, Hungateiclostridium straminisolvens (Kato et al. 2004) Zhang et al. 2018 and Hungateiclostridium saccincola (Koeck et al. 2016) Zhang et al. 2018 contravene Rule 51b of the International Code of Nomenclature of Prokaryotes and require replacement names in the genus Acetivibrio Patel et al. 1980. Int J Syst Evol Microbiol 2019; 69:3927-3932.	VP; comb. nov.; validly published under the ICNP; correct name	(Viljoen et al. 1926) Tindall 2019	https://lpsn.dsmz.de/species/acetivibrio-thermocellus		ATCC 27405; DSM 1237; JCM 9322; LMG 10435; NBRC 103400; NRRL B-4536	5956	
Acetivibrio			Patel GB, Khan AW, Agnew BJ, Colvin JR. Isolation and characterization of an anaerobic, cellulolytic microorganism, Acetivibrio cellulolyticus gen. nov., sp. nov. Int. J. Syst. Bacteriol. 1980; 30:179-185.	VP; gen. nov.; validly published under the ICNP; correct name	Patel et al. 1980 emend. Robinson and Ritchie 1981 emend. Khan et al. 1984 emend. Murray 1986 emend. Tindall 2019	https://lpsn.dsmz.de/genus/acetivibrio	1	772481	514990	
Acetoanaerobium	noterae		Sleat R, Mah RA, Robinson R. Acetoanaerobium noterae gen. nov., sp. nov.: an anaerobic bacterium that forms acetate from H2 and CO2. Int. J. Syst. Bacteriol. 1985; 35:10-15.	VP; sp. nov.; validly published under the ICNP; correct name	Sleat et al. 1985	https://lpsn.dsmz.de/species/acetoanaerobium-noterae	1	ATCC 35199; NOT-3	783234	
Acetoanaerobium	pronyense		Bes M, Merrouch M, Joseph M, Quemeneur M, Payri C, Pelletier B, Ollivier B, Fardeau ML, Erauso G, Postec A. Acetoanaerobium pronyense sp. nov., an anaerobic alkaliphilic bacterium isolated from a carbonate chimney of the Prony Hydrothermal Field (New Caledonia). Int J Syst Evol Microbiol 2015; 65:2574-2580.	VP; sp. nov.; validly published under the ICNP; correct name	Bes et al. 2015	https://lpsn.dsmz.de/species/acetoanaerobium-pronyense	1	DSM 27512; JCM 19400; ST07-YE	793068	
Acetoanaerobium	sticklandii		Galperin MY, Brover V, Tolstoy I, Yutin N. Phylogenomic analysis of the family Peptostreptococcaceae (Clostridium cluster XI) and proposal for reclassification of Clostridium litorale (Fendrich et al. 1991) and Eubacterium acidaminophilum (Zindel et al. 1989) as Peptoclostridium litorale gen. nov. comb. nov. and Peptoclostridium acidaminophilum comb. nov. Int J Syst Evol Microbiol 2016; 66:5506-5513.	VP; comb. nov.; validly published under the ICNP; correct name	(Stadtman and McClung 1957) Galperin et al. 2016	https://lpsn.dsmz.de/species/acetoanaerobium-sticklandii	1	ATCC 12662; BCRC 14485; CCRC 14485; CCUG 9281; DSM 519; JCM 1433; NCIB 10654; NCIMB 10654; StadtmanHF	794920	
Acetoanaerobium			Sleat R, Mah RA, Robinson R. Acetoanaerobium noterae gen. nov., sp. nov.: an anaerobic bacterium that forms acetate from H2 and CO2. Int. J. Syst. Bacteriol. 1985; 35:10-15.	VP; gen. nov.; validly published under the ICNP; correct name	Sleat et al. 1985	https://lpsn.dsmz.de/genus/acetoanaerobium		783234	517161	
Acetobacter	aceti	aceti	Skerman VBD, McGowan V, Sneath PHA. Approved lists of bacterial names. Int J Syst Bacteriol 1980; 30:225-420.	VL; subsp. nov.; validly published under the ICNP; synonym of its species	(Pasteur 1864) De Ley and Frateur 1974 (Approved Lists 1980)	https://lpsn.dsmz.de/subspecies/acetobacter-aceti-aceti	1	ATCC 15973; CCUG 18122; CIP 103111; DSM 3508; ICMP 8807; IFO 14818; JCM 7641; LMG 1261; LMG 1504; NBIMCC 8850; NBRC 14818; NCCB 23001; NCIB 8621; NCIMB 8621	772485	772484
